department,department_name,division,gender,base_salary,2024_overtime_pay,2024_longevity_pay,grade,total_pay,ot_ratio
DOT,Department of Transportation,DOT 50 Highway Services,M,83837.0,14060.68,2543.05,15,100440.73,0.1677144936006775
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,136188.0,0.0,7404.96,N26,143592.96,0.0
HRC,Office of Human Rights,HRC 46 Compliance,F,119032.0,0.0,8708.77,23,127740.77,0.0
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,126527.0,0.0,1023.44,N26,127550.44,0.0
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,136188.0,0.0,0.0,N26,136188.0,0.0
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,M,124464.0,0.0,3841.51,24,128305.51,0.0
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,98103.92,4274.1,0.0,23,102378.02,0.043567066433227136
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,132517.47,14008.41,0.0,N26,146525.88,0.1057099113045246
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,136188.0,11300.76,0.0,N26,147488.76,0.08297911710282845
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,64274.46,0.0,0.0,24,64274.46,0.0
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,124464.0,0.0,3841.51,24,128305.51,0.0
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,M,124464.0,0.0,7807.8,24,132271.8,0.0
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,131160.42,0.0,0.0,N26,131160.42,0.0
POL,Department of Police,POL 47 MSB  Professional Accountability Division,F,119032.0,1119.24,11383.55,23,131534.79,0.009402849653874588
LIB,Department of Public Libraries,LIB 71 Business Office,M,164480.8,0.0,0.0,M3,164480.8,0.0
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197.0,0.0,1518.12,20,105715.12,0.0
FRS,Fire and Rescue Services,FRS 45 Station 4,M,136743.0,381.06,14595.83,B2,151719.88999999998,0.002786687435554288
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,67893.0,2556.64,2095.59,10,72545.23,0.037656901300575904
FRS,Fire and Rescue Services,FRS 45 Station 34,M,136743.0,90732.68,9652.75,B2,237128.43,0.6635270544013221
FRS,Fire and Rescue Services,FRS 45 Safety,M,136743.0,133834.45,14595.78,B2,285173.23000000004,0.9787298070102309
LIB,Department of Public Libraries,LIB 71 Chevy Chase Library,F,108899.0,0.0,10414.6,21,119313.6,0.0
IGR,Office of Intergovernmental Relations Department,IGR 20 Office of Intergovernmental Relations Department,F,217359.0,0.0,0.0,M1,217359.0,0.0
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,59516.0,0.0,0.0,N23,59516.0,0.0
CAT,County Attorney's Office,CAT 30 Finance and Procurement,F,176054.0,0.0,5433.85,N32,181487.85,0.0
POL,Department of Police,POL 47 CRB Community Engagement Division Community Engagement Section,F,115223.0,1197.69,12285.18,P4,128705.87,0.010394539284691424
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,136188.0,0.0,8543.3,N26,144731.3,0.0
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,76986.0,0.0,7362.67,13,84348.67,0.0
CEX,Offices of the County Executive,CEX 15 County Executive's Office,F,108899.0,0.0,3361.18,N21,112260.18,0.0
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,M,258678.0,0.0,0.0,MD4,258678.0,0.0
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,124464.0,2489.23,7807.8,N24,134761.03,0.01999959827741355
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,95458.0,0.0,5988.2,18,101446.2,0.0
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,M,106349.0,24730.12,3534.93,C5,134614.05,0.23253740044570234
CEX,Offices of the County Executive,CEX 15 Chief Administrative Officer's Office,F,43761.5,0.0,2811.09,N16,46572.59,0.0
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,M,124464.0,2825.82,7807.8,24,135097.62,0.022703914384882378
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,124464.0,0.0,7632.1,24,132096.1,0.0
CEX,Offices of the County Executive,CEX 15 Chief Administrative Officer's Office,F,41877.0,0.0,1832.43,N16,43709.43,0.0
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,124464.0,0.0,11903.04,24,136367.04,0.0
DGS,Department of General Services,DGS 36 Fleet Automotive Heavy Equipment,M,99719.0,0.0,0.0,19,99719.0,0.0
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,M,130181.0,0.0,8166.53,N25,138347.53,0.0
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,M,129339.0,0.0,0.0,MD4,129339.0,0.0
FRS,Fire and Rescue Services,FRS 45 Station 29,M,110232.0,32055.64,6076.22,F4,148363.86000000002,0.29080158211771534
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,99719.0,16289.55,9416.73,19,125425.28,0.16335452621867447
DPS,Department of Permitting Services,DPS 75 Residential Inspections,M,162254.0,0.0,0.0,M3,162254.0,0.0
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,F,104231.0,20275.65,0.0,T2,124506.65,0.19452610068021992
POL,Department of Police,POL 47 PSB 5th District Community Operations,M,115223.0,9198.48,12285.18,P4,136706.66,0.07983197799050537
FRS,Fire and Rescue Services,FRS 45 Fire and Explosive Investigations,M,121266.0,7109.04,8434.16,B1,136809.19999999998,0.0586235218445401
FRS,Fire and Rescue Services,FRS 45 Station 12,M,136743.0,0.0,7130.53,B2,143873.53,0.0
FRS,Fire and Rescue Services,FRS 45 Field Relief Personnel,M,157431.0,0.0,11009.02,B3,168440.02,0.0
POL,Department of Police,POL 47 PSB 3rd District Patrol,M,120984.0,0.0,12899.5,P5,133883.5,0.0
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,115223.0,11320.25,8048.63,P4,134591.88,0.09824644385235587
BOE,Board of Elections,BOE 24 Registration Services,M,87523.0,19748.72,0.0,16,107271.72,0.2256403459662032
FRS,Fire and Rescue Services,FRS 45 Emergency Communications Center (ECC),M,110232.0,56180.42,7271.8,F4,173684.21999999997,0.5096561796937368
ABS,Alcohol Beverage Services,ABS 85 Potomac,M,108899.0,0.0,0.0,N21,108899.0,0.0
FRS,Fire and Rescue Services,FRS 45 Station 35,M,110232.0,33172.19,6076.22,F4,149480.41,0.30093067348864216
POL,Department of Police,POL 47 PSB 1st District Patrol,M,115223.0,12951.54,12285.18,P4,140459.72,0.11240412070506757
FRS,Fire and Rescue Services,FRS 45 Station 17,M,136743.0,53445.93,14162.38,B2,204351.31,0.3908494767556657
DGS,Department of General Services,DGS 36 Automation,M,110588.0,0.0,2450.3,23,113038.3,0.0
DPS,Department of Permitting Services,DPS 75 Commercial Building Construction Division,M,194980.0,0.0,0.0,M2,194980.0,0.0
DPS,Department of Permitting Services,"DPS 75 Commercial Sustainability, Energy, and Mechanical",M,136188.0,0.0,13024.23,26,149212.23,0.0
FRS,Fire and Rescue Services,FRS 45 First Battalion - Administration,M,157431.0,0.0,12530.75,B3,169961.75,0.0
POL,Department of Police,POL 47 PSB 1st District Special Assignment Team,M,133078.0,38688.6,14188.96,A1,185955.56,0.2907212311576669
SHF,Sheriff's Office,SHF 48 Court and Transport,M,123648.0,5794.16,4109.99,D1,133552.15,0.046860119047619046
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,169555.0,0.0,0.0,M3,169555.0,0.0
DOT,Department of Transportation,DOT 50 Highway Administration,M,113837.0,17277.43,0.0,22,131114.43,0.1517734128622504
FRS,Fire and Rescue Services,FRS 45 Station 40,M,106504.0,0.0,3574.06,F4,110078.06,0.0
FRS,Fire and Rescue Services,FRS 45 Station 17,M,110232.0,56569.2,3752.15,F4,170553.35,0.5131831047245808
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,130181.0,0.0,0.0,25,130181.0,0.0
CEC,Community Engagement Cluster,CEC 16 Wheaton Urban District,M,67893.0,90.98,1782.48,10,69766.45999999999,0.0013400497842192864
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76582.63,0.0,2102.12,16,78684.75,0.0
HHS,Department of Health and Human Services,HHS 60 Services to End and Prevent Homelessness Division,F,124464.0,0.0,1664.48,24,126128.48,0.0
COR,Correction and Rehabilitation,COR 42 DS Food Services,M,93777.91,20076.36,0.0,18,113854.27,0.21408410573449546
COR,Correction and Rehabilitation,COR 42 PRRS Facility and Security,M,104197.0,81124.65,3098.51,20,188420.16,0.7785699204391681
POL,Department of Police,POL 47 PSB 1st District Patrol,M,115223.0,36004.05,3955.13,P4,155182.18,0.312472770193451
POL,Department of Police,POL 47 PSB 4th District Patrol,M,133078.0,108982.67,14188.96,A1,256249.62999999998,0.8189382918288522
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,136188.0,20849.86,8543.3,N26,165581.15999999997,0.1530961611889447
POL,Department of Police,POL 47 PSB 6th District Patrol,M,115223.0,23527.43,12285.18,P4,151035.61,0.20419039601468458
FRS,Fire and Rescue Services,FRS 45 Fire and Explosive Investigations,M,121266.0,45917.14,13013.84,B1,180196.98,0.37864809592136295
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,123648.0,1707.25,4109.99,D1,129465.24,0.013807340191511388
POL,Department of Police,POL 47 HQ Office of the Chief,M,120984.0,52452.29,8268.47,P5,181704.76,0.4335473285723732
POL,Department of Police,POL 47 FSB Traffic Division Automated Traffic Enforcement Section,M,83837.0,0.0,1221.52,15,85058.52,0.0
FRS,Fire and Rescue Services,FRS 45 Operations Division,M,196339.0,0.0,20956.96,B6,217295.96,0.0
FRS,Fire and Rescue Services,FRS 45 Station 10,M,121266.0,54589.84,4167.22,B1,180023.06,0.4501660811769168
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,124464.0,0.0,3841.51,24,128305.51,0.0
POL,Department of Police,POL 47 PSB 4th District Station,M,174725.12,2676.86,0.0,A2,177401.97999999998,0.015320407277442421
FRS,Fire and Rescue Services,FRS 45 Second Battalion - Administration,M,136743.0,34130.13,3901.74,B2,174774.87,0.24959325157412077
HHS,Department of Health and Human Services,HHS 60 School Health Services,M,76986.0,0.0,7362.67,13,84348.67,0.0
LIB,Department of Public Libraries,LIB 71 Brigadier General Charles E. McGee Library,M,36835.51,0.0,1287.13,13,38122.64,0.0
COR,Correction and Rehabilitation,COR 42 DS Food Services,F,95458.0,11455.78,5988.2,18,112901.98,0.12000859016530831
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,124464.0,0.0,3841.51,24,128305.51,0.0
FRS,Fire and Rescue Services,FRS 45 Station 14,M,136743.0,66270.59,4743.46,B2,207757.05,0.48463606912236823
FRS,Fire and Rescue Services,FRS 45 Station 15,M,100215.0,19613.45,3052.77,F3,122881.22,0.19571371551164995
FRS,Fire and Rescue Services,FRS 45 Training,M,173161.0,0.0,17911.15,B4,191072.15,0.0
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,133078.0,55905.07,14188.96,A1,203172.03,0.42009250214160115
FRS,Fire and Rescue Services,FRS 45 Station 5,M,100215.0,10706.03,3443.82,F3,114364.85,0.10683061417951405
FRS,Fire and Rescue Services,FRS 45 Station 10,M,110232.0,74860.08,0.0,F4,185092.08000000002,0.6791138689309819
POL,Department of Police,POL 47 HQ Office of the Chief,M,120984.0,3278.45,4152.9,P5,128415.34999999999,0.02709821133373008
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 2 Security,F,116789.0,11844.23,7148.21,C6,135781.44,0.10141562989665122
FRS,Fire and Rescue Services,FRS 45 Station 28,M,136743.0,8187.52,9562.27,B2,154492.78999999998,0.059875240414500194
LIB,Department of Public Libraries,LIB 71 Aspen Hill Library,F,47728.81,0.0,598.41,18,48327.22,0.0
POL,Department of Police,POL 47 MSB Information Mgmt and Tech Division Records Management Section,F,119032.0,293.58,0.0,N23,119325.58,0.0024663955911015524
DGS,Department of General Services,DGS 36 Building Design and Construction,M,142691.0,0.0,0.0,28,142691.0,0.0
FRS,Fire and Rescue Services,FRS 45 Station 16,M,136743.0,39772.43,14595.78,B2,191111.21,0.290855327146545
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,92036.29,14323.86,0.0,T1,106360.15,0.1556327400854598
DOT,Department of Transportation,DOT 50 Transit Central Communication,M,95458.0,4013.18,2946.31,18,102417.48999999999,0.042041316599970666
FRS,Fire and Rescue Services,FRS 45 Station 31,M,110232.0,22486.3,11766.18,F4,144484.47999999998,0.2039906742143842
FRS,Fire and Rescue Services,FRS 45 Station 33,M,100215.0,7955.62,8742.1,F3,116912.72,0.07938552112957142
COR,Correction and Rehabilitation,COR 42 DS MCCF Case Managers Unit 3,F,130181.0,0.0,8166.53,N25,138347.53,0.0
FRS,Fire and Rescue Services,FRS 45 Station 19,M,121266.0,17741.65,0.0,B1,139007.65,0.14630358055844178
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,90927.54,2843.04,0.0,T1,93770.57999999999,0.031267094655810554
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197.0,5559.56,3216.0,20,112972.56,0.05335623866330125
DEP,Department of Environmental Protection,DEP 80 Climate Programs,M,130181.0,0.0,8166.53,25,138347.53,0.0
BOE,Board of Elections,BOE 24 Election Judge Recruitment,F,95458.0,43896.12,1666.36,N18,141020.47999999998,0.4598474721867209
LIB,Department of Public Libraries,LIB 71 Damascus Library,F,36835.51,0.0,995.72,13,37831.23,0.0
POL,Department of Police,POL 47 PSB 4th District Patrol,M,133078.0,4707.25,14188.96,A1,151974.21,0.03537211259562061
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OBP Data Center Management,M,149112.0,0.0,9354.05,N28,158466.05,0.0
FRS,Fire and Rescue Services,FRS 45 Station 4,M,100215.0,30061.55,3443.82,F3,133720.37,0.2999705632889288
FRS,Fire and Rescue Services,FRS 45 Station 7,M,106504.0,20079.55,5789.55,F4,132373.1,0.18853329452414933
FRS,Fire and Rescue Services,FRS 45 Admin Services,F,84321.19,436.45,0.0,N18,84757.64,0.005176041751782677
POL,Department of Police,POL 47 PSB 4th District Patrol,F,133078.0,48952.47,14008.95,A1,196039.42,0.3678479538315875
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,124464.0,0.0,3841.51,24,128305.51,0.0
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,M,123648.0,3556.88,4077.11,16,131281.99,0.028766174948240165
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO System Center Configuration Management,M,149112.0,0.0,4602.26,N28,153714.26,0.0
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,95458.0,0.0,2946.31,18,98404.31,0.0
POL,Department of Police,POL 47 PSB 1st District Patrol,F,87523.0,27961.06,5490.56,16,120974.62,0.31947099619528585
COR,Correction and Rehabilitation,COR 42 PRRS Reentry Services and Programs,M,124464.0,0.0,11753.43,24,136217.43,0.0
FRS,Fire and Rescue Services,FRS 45 Second Battalion - Administration,M,121266.0,0.0,8560.22,B1,129826.22,0.0
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 2 Security,M,127803.0,29702.44,13195.08,C1,170700.52,0.23240800294202796
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Device Client Management,M,119032.0,0.0,11383.55,23,130415.55,0.0
POL,Department of Police,POL 47 PSB 4th District Patrol,M,133078.0,11855.3,14188.96,A1,159122.25999999998,0.08908534844226694
CAT,County Attorney's Office,CAT 30 Government Operations,F,194980.0,0.0,0.0,M2,194980.0,0.0
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,62231.88,6400.22,6868.67,24,75500.76999999999,0.10284471560235688
POL,Department of Police,POL 47 PSB 5th District Patrol,M,120984.0,53340.13,12899.5,P5,187223.63,0.4408858196125107
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,M,106349.0,49206.25,10980.07,C5,166535.32,0.4626865320783458
FRS,Fire and Rescue Services,FRS 45 Station 12,M,136743.0,37507.57,9652.75,B2,183903.32,0.27429243178809887
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OSP Infrastructure and Cloud Services,F,149112.0,0.0,9354.05,N28,158466.05,0.0
DOT,Department of Transportation,DOT 50 Highway Services,M,87523.0,15162.54,8224.75,16,110910.29000000001,0.17324063389052022
CCL,County Council,CCL 01 Council Central Staff,F,246162.47,0.0,0.0,LB1,246162.47,0.0
REC,Department of Recreation,REC 72 Administration Division,F,104191.14,0.0,0.0,21,104191.14,0.0
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,90927.54,37857.29,0.0,T1,128784.82999999999,0.41634569680429057
LIB,Department of Public Libraries,LIB 71 Davis Library,F,95458.0,0.0,9129.02,18,104587.02,0.0
FRS,Fire and Rescue Services,FRS 45 Station 11,M,136743.0,49050.45,9562.26,B2,195355.71000000002,0.35870538162831
POL,Department of Police,POL 47 PSB 6th District Community Operations,M,115223.0,6313.31,12285.18,P4,133821.49,0.05479209879971881
FRS,Fire and Rescue Services,FRS 45 Station 1,M,95441.0,21779.49,3248.64,F2,120469.13,0.22819846816357753
FRS,Fire and Rescue Services,FRS 45 Fire and Rescue Occupational Medical Services,M,155682.09,0.0,5158.97,B3,160841.06,0.0
CAT,County Attorney's Office,CAT 30 County Attorney,M,258000.0,0.0,0.0,EX1,258000.0,0.0
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,113837.0,19617.26,3513.57,22,136967.83000000002,0.17232762634292892
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO One Face Forward Initiative,M,194980.0,0.0,0.0,M2,194980.0,0.0
CCL,County Council,CCL 01 Council Central Staff,F,103662.35,261.65,0.0,N23,103924.0,0.0025240600854601497
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,93145.03,22831.4,0.0,T1,115976.43,0.24511667450211785
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,100905.2,440.65,0.0,T2,101345.84999999999,0.004366970185877437
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO Enterprise Information Security Office,M,176054.0,0.0,11044.08,N32,187098.08,0.0
FRS,Fire and Rescue Services,FRS 45 Emergency Medical & Integrated Healthcare Services,M,155682.09,40766.73,15833.56,B3,212282.38,0.26185883038954577
POL,Department of Police,POL 47 PSB 5th District Special Assignment Team,M,120984.0,9690.21,8450.92,P5,139125.13,0.0800949712358659
POL,Department of Police,POL 47 PSB 4th District Patrol,M,120984.0,99585.15,12899.5,P5,233468.65,0.8231266117833763
COR,Correction and Rehabilitation,COR 42 DS Inmate Records,M,91392.0,8169.72,8740.19,17,108301.91,0.0893920693277311
OAS,Office of Animal Services,OAS 38 Animal Services Division,M,108899.0,0.0,0.0,N21,108899.0,0.0
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76582.63,0.0,4524.9,16,81107.53,0.0
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,91392.0,0.0,2820.75,N17,94212.75,0.0
FRS,Fire and Rescue Services,FRS 45 Emergency Medical & Integrated Healthcare Services,M,100215.0,12923.54,1214.19,F3,114352.73000000001,0.12895813999900216
CCL,County Council,CCL 01 Council Central Staff,M,107239.0,0.0,0.0,M2,107239.0,0.0
POL,Department of Police,POL 47 PSB 1st District Patrol,M,115223.0,56775.13,12285.18,P4,184283.31,0.49274129297102137
DGS,Department of General Services,DGS 36 Fleet Management Services,M,87523.0,643.92,5490.56,16,93657.48,0.007357151834374964
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,90927.54,9687.29,0.0,T1,100614.82999999999,0.10653856906279441
REC,Department of Recreation,REC 72 Senior Programs,F,108899.0,0.0,6831.44,21,115730.44,0.0
FRS,Fire and Rescue Services,FRS 45 Station 24,M,121266.0,20512.12,12943.86,B1,154721.97999999998,0.16914980291260534
DOT,Department of Transportation,DOT 50 Highway Services,M,89485.57,27219.54,0.0,N18,116705.11000000002,0.3041779808744583
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,91392.0,17743.63,0.0,N17,109135.63,0.19414861257002802
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,M,80335.0,699.86,7683.11,14,88717.97,0.008711769465363789
FRS,Fire and Rescue Services,FRS 45 Station 34,M,136743.0,7834.75,12308.67,B2,156886.42,0.057295437426413055
POL,Department of Police,POL 47 PSB 1st District Patrol,M,120984.0,34933.25,12735.85,P5,168653.1,0.28874272631091713
FRS,Fire and Rescue Services,FRS 45 Station 28,M,100215.0,4834.95,0.0,F3,105049.95,0.04824577159107918
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,133078.0,8753.51,14188.96,A1,156020.47,0.06577728850749184
POL,Department of Police,POL 47 PSB 5th District Patrol,M,115223.0,27441.64,7898.04,P4,150562.68000000002,0.23816113102418787
FRS,Fire and Rescue Services,FRS 45 Station 28,M,136743.0,56993.49,9652.75,B2,203389.24,0.4167927425901143
SHF,Sheriff's Office,SHF 48 Sheriff Domestic Violence,F,104197.0,1340.27,6536.46,20,112073.73000000001,0.01286284633914604
FRS,Fire and Rescue Services,FRS 45 Station 25,M,110232.0,41164.79,11305.41,F4,162702.2,0.373437749473837
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,124464.0,8771.12,2665.78,N24,135900.9,0.07047114024938939
POL,Department of Police,POL 47 PSB 5th District Patrol,F,87523.0,6617.13,2602.79,16,96742.92,0.07560446968225495
COR,Correction and Rehabilitation,COR 42 PTS Supervision,F,124464.0,0.0,5867.55,24,130331.55,0.0
FRS,Fire and Rescue Services,FRS 45 Station 14,M,100215.0,0.0,1960.91,F3,102175.91,0.0
FRS,Fire and Rescue Services,FRS 45 Station 10,M,136743.0,54754.37,9562.22,B2,201059.59,0.40041808355820774
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,M,104197.0,0.0,9964.8,20,114161.8,0.0
DEP,Department of Environmental Protection,DEP 80 Stormwater BMP Inspection and Maintenance,M,119032.0,8898.02,7467.13,23,135397.15,0.07475317561664091
POL,Department of Police,POL 47 PSB 3rd District Special Assignment Team,M,115223.0,26312.6,10042.43,P4,151578.03,0.22836239292502364
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,F,100350.82,4385.1,0.0,T2,104735.92000000001,0.04369769972980789
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,113837.0,4039.79,10886.73,22,128763.51999999999,0.03548749527833657
POL,Department of Police,POL 47 MSB Training and Education Division,M,115223.0,1289.81,12285.18,P4,128797.98999999999,0.011194032441439643
DOT,Department of Transportation,DOT 50 Transportation Management,M,99719.0,25034.57,6255.51,19,131009.08,0.25105115374201503
POL,Department of Police,POL 47 PSB 1st District Patrol,M,115223.0,908.94,12285.18,P4,128417.12,0.007888529199899326
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,F,116789.0,32876.21,5394.08,C6,155059.28999999998,0.28150091190094956
FRS,Fire and Rescue Services,FRS 45 Station 10,M,110232.0,49992.64,7708.4,F4,167933.04,0.453522026271863
POL,Department of Police,POL 47 PSB 4th District Station,M,175128.65,1743.82,0.0,A2,176872.47,0.00995736562806828
FRS,Fire and Rescue Services,FRS 45 Emergency Communications Center (ECC),M,121266.0,499.56,0.0,B1,121765.56,0.004119538864974519
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,M,115223.0,21878.0,12285.18,P4,149386.18,0.18987528531629969
POL,Department of Police,POL 47 PSB 5th District Patrol,M,120984.0,12077.91,12899.5,P5,145961.41,0.09983063876215037
POL,Department of Police,POL 47 PSB 4th District Patrol,M,115223.0,8159.93,12285.18,P4,135668.11,0.07081858656691807
POL,Department of Police,POL 47 PSB 3rd District Patrol,M,115223.0,4725.29,12285.18,P4,132233.47,0.04100995460975673
FRS,Fire and Rescue Services,FRS 45 Second Battalion - Administration,M,121266.0,23545.62,8154.09,B1,152965.71,0.19416505863143832
POL,Department of Police,POL 47 PSB 1st District Patrol,M,115223.0,35053.43,8048.63,P4,158325.06,0.3042225076590611
POL,Department of Police,POL 47 PSB 5th District Patrol,F,115223.0,1083.75,12285.18,P4,128591.93,0.009405674214349565
FRS,Fire and Rescue Services,FRS 45 Station 24,M,136743.0,55445.67,3809.67,B2,195998.34,0.4054735525767315
FRS,Fire and Rescue Services,FRS 45 Emergency Communications Center (ECC),M,110232.0,97025.44,3091.6,F4,210349.04,0.8801930473909573
FRS,Fire and Rescue Services,FRS 45 Station 8,M,121266.0,21417.12,4206.65,B1,146889.77,0.17661273563900845
CAT,County Attorney's Office,CAT 30 Support Services,F,87523.0,0.0,2602.79,N16,90125.79,0.0
POL,Department of Police,POL 47 FSB Special Operations Division Tactical Operations Section,M,115223.0,22558.69,8048.63,P4,145830.32,0.19578287321107765
FRS,Fire and Rescue Services,FRS 45 Station 15,M,110232.0,24901.01,7635.42,F4,142768.43000000002,0.2258963821757747
FRS,Fire and Rescue Services,FRS 45 Technology Services,M,136743.0,122449.7,5080.04,B2,264272.74,0.8954732600571875
FIN,Department of Finance,FIN 32 Director's Office,M,194980.0,0.0,0.0,M2,194980.0,0.0
SHF,Sheriff's Office,SHF 48 Court and Transport,M,113014.0,9873.98,7644.4,G4,130532.37999999999,0.08736952943883058
FRS,Fire and Rescue Services,FRS 45 Station 17,M,136743.0,55800.84,9562.22,B2,202106.06,0.4080709067374564
COR,Correction and Rehabilitation,COR 42 DS Food Services,M,113837.0,20214.16,0.0,N22,134051.16,0.17757108848616882
FRS,Fire and Rescue Services,FRS 45 Station 2,M,110232.0,13619.17,7635.42,F4,131486.59,0.1235500580593657
DEP,Department of Environmental Protection,DEP 80 Stewardship Programs,M,119032.0,0.0,0.0,23,119032.0,0.0
POL,Department of Police,POL 47 PSB 3rd District Community Operations,M,133078.0,4712.63,14188.96,A1,151979.59,0.03541254001412705
DOT,Department of Transportation,DOT 50 Traffic Engineering Design and Operations,F,130181.0,0.0,8166.53,25,138347.53,0.0
POL,Department of Police,POL 47 PSB 5th District Patrol,M,133078.0,26507.91,14188.96,A1,173774.87,0.19919077533476606
FRS,Fire and Rescue Services,FRS 45 Station 29,M,136743.0,91682.68,9471.78,B2,237897.46,0.6704743935704204
SHF,Sheriff's Office,SHF 48 Evictions,M,113014.0,1854.4,3756.54,G4,118624.93999999999,0.01640858654679951
FRS,Fire and Rescue Services,FRS 45 Station 31,M,136743.0,70856.06,13886.15,B2,221485.21,0.5181695589536576
FRS,Fire and Rescue Services,FRS 45 Second Battalion - Administration,M,150417.48,11305.81,5106.61,B3,166829.9,0.07516287335753796
DPS,Department of Permitting Services,DPS 75 Well and Septic Review and Inspections,M,124464.0,8507.86,6021.27,24,138993.12999999998,0.06835599048720915
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,M,34763.38,0.0,684.51,10,35447.89,0.0
FRS,Fire and Rescue Services,FRS 45 Station 29,M,100215.0,5656.91,2792.07,F3,108663.98000000001,0.05644773736466597
FRS,Fire and Rescue Services,FRS 45 Station 34,M,121266.0,28841.53,4165.84,B1,154273.37,0.2378369039961737
FRS,Fire and Rescue Services,FRS 45 Fire and Explosive Investigations,M,110232.0,23183.76,6076.22,F4,139491.98,0.2103178750272153
POL,Department of Police,POL 47 PSB 4th District Station,M,175642.0,11628.23,0.0,A2,187270.23,0.06620415390396374
